#Velocity (\mu m/min) vs Adhesion (eta) - Fixed Polymers
# eta 0, 0.5, 1.0
rho adh0 d0 adh05 d1 adh1 d2
0.1 1.6221 0.0468 1.599 0.0298 1.5991 0.0611
0.2 1.5216 0.0468 1.5381094 0.0598 1.52991 0.0811
0.3 1.4996 0.0624 1.4227 0.0941  1.42 0.0782
0.4 1.3408 0.0468 1.3184 0.0512  1.3128 0.0627
0.5 1.2484 0.0468 1.28182 0.0472  1.284 0.08112
0.6 0.8288 0.0936 0.91431 0.1  0.98 0.1241
0.7 0.4168 0.1092 0.421 0.101  0.525 0.099

