eta v err
0 0.7856 0.025167
0.1 0.8036 0.01369
0.2 0.835 0.022
0.3 0.8547 0.019
0.4 0.8764 0.025
0.5 0.90356 0.044
0.6 0.984 0.033
0.7 1.02 0.039
0.8 1.001 0.04
0.9 0.981 0.022
1 0.97 0.036
1.1 0.9016 0.022
1.2 0.8436 0.016
1.3 0.796 0.029
1.4 0.7269 0.032
1.5 0.7097 0.0432

